武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,防御力,バフ合計,バフ共通,元素バフ,バフ落下,パーティ元素,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),123941,3835.865,2365.987,2.796,1.05,0.466,1.28,Hydro:1、Geo:2、Anemo:1、,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),122111,3539.875,2142.267,3.296,1.55,0.466,1.28,Hydro:1、Geo:2、Anemo:1、,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+岩バフ+会心率,ゴロー(6凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),122111,3539.875,2142.267,3.296,1.55,0.466,1.28,Hydro:1、Geo:2、Anemo:1、,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+岩バフ+会心率,ゴロー(6凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),121000,3835.865,2365.987,2.796,1.05,0.466,1.28,Hydro:1、Geo:2、Anemo:1、,1.00:2.11,2.11,,0.64:0.33,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+会心ダメージ,ゴロー(6凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),118717,3957.475,2142.267,2.796,1.05,0.466,1.28,Hydro:1、Geo:2、Anemo:1、,1.00:2.00,2.00,,0.56:0.48,0,0,1.6
葦海の標(2),長き夜の誓い4,防御%+岩バフ+会心率,ゴロー(6凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),118717,3957.475,2142.267,2.796,1.05,0.466,1.28,Hydro:1、Geo:2、Anemo:1、,1.00:2.00,2.00,,0.25:1.10,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+会心ダメージ,ゴロー(6凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),117634,4089.539,2608.084,2.83,1.55,0,1.28,Hydro:1、Geo:2、Anemo:1、,0.97:1.95,2.00,,0.59:0.43,0,0,1.6
螭龍の剣(完凸),長き夜の誓い4,防御%+防御%+会心率,ゴロー(6凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),117634,4089.539,2608.084,2.83,1.55,0,1.28,Hydro:1、Geo:2、Anemo:1、,0.97:1.95,2.00,,0.28:1.05,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+防御%+会心ダメージ,ゴロー(6凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),117119,4385.529,2831.804,2.33,1.05,0,1.28,Hydro:1、Geo:2、Anemo:1、,0.91:2.40,2.64,,0.80:0.00,0,0,1.6
赤角石塵滅砕,長き夜の誓い4,防御%+防御%+会心率,ゴロー(6凸)+フリーナ(フル)+閑雲(鶴鳴の余韻、しめ縄+剣闘士、攻撃全振り),114340,4385.529,2831.804,2.33,1.05,0,1.28,Hydro:1、Geo:2、Anemo:1、,1.00:2.11,2.11,,0.64:0.33,0,0,1.6
