武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
螭龍の剣(完凸),ファントムハンター,防御%、元素バフ、会心率,ゴロー+フリーナ+閑雲,80049.05,3509.195,4792.071,1.966,3.094,0,1.00:2.09,2.09,a,0.003000021,0,0,0
螭龍の剣(完凸),ファントムハンター,防御%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,80049.05,3509.195,4792.071,1.966,3.094,0,1.00:2.09,2.09,a,0.314,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、元素バフ、会心率,ゴロー+フリーナ+閑雲,77248.3,3805.185,4792.071,1.466,3.424,0,1.00:2.42,2.42,a,0.279,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,77248.3,3805.185,4792.071,1.466,3.424,0,1.00:2.42,2.42,a,0.59,0,0,0
螭龍の剣(完凸),ファントムハンター,攻撃%、元素バフ、会心率,ゴロー+フリーナ+閑雲,77105.28,3286.197,4792.071,1.966,3.094,0,1.00:2.09,2.09,a,0.003000021,0,0,0
螭龍の剣(完凸),ファントムハンター,攻撃%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,77105.28,3286.197,4792.071,1.966,3.094,0,1.00:2.09,2.09,a,0.314,0,0,0
赤角石塵滅砕,残響4,防御%、元素バフ、会心率,ゴロー+フリーナ+閑雲,75199.15,3937.125,4792.071,1.966,2.714952,0,0.93:1.85,2.00,a,0.565,0,0,0
赤角石塵滅砕,残響4,防御%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,74879.17,3937.125,4792.071,1.966,2.7034,0,0.85:2.00,2.36,a,0.8,0,0,0
螭龍の剣(完凸),残響4,防御%、元素バフ、会心率,ゴロー+フリーナ+閑雲,74780.46,3635.375,4792.071,2.466,2.422985,0,0.84:1.69,2.00,a,0.2065,0,0,0
螭龍の剣(完凸),残響4,防御%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,74780.46,3635.375,4792.071,2.466,2.422985,0,0.84:1.69,2.00,a,0.5175,0,0,0
赤角石塵滅砕,ファントムハンター,攻撃%、元素バフ、会心率,ゴロー+フリーナ+閑雲,74720.88,3597.099,4792.071,1.466,3.424,0,1.00:2.42,2.42,a,0.279,0,0,0
赤角石塵滅砕,ファントムハンター,攻撃%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,74720.88,3597.099,4792.071,1.466,3.424,0,1.00:2.42,2.42,a,0.59,0,0,0
葦海の標,ファントムハンター,防御%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,73667.1,3926.795,4795.934,1.466,3.204,0,1.00:2.20,2.20,a,0.259,0,0,0
螭龍の剣(完凸),ファントムハンター,防御%、防御%、会心率,ゴロー+フリーナ+閑雲,73588.22,4058.859,4792.071,1.5,3.094,0,1.00:2.09,2.09,a,0.003000021,0,0,0
螭龍の剣(完凸),ファントムハンター,防御%、防御%、会心ダメージ,ゴロー+フリーナ+閑雲,73588.22,4058.859,4792.071,1.5,3.094,0,1.00:2.09,2.09,a,0.314,0,0,0
螭龍の剣(完凸),華館4,防御%、元素バフ、会心率,ゴロー+フリーナ+閑雲,73449.99,4018.318,4792.071,2.206,2.422985,0,0.84:1.69,2.00,a,0.2065,0,0,0
