武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,バフ合計,バフ共通,バフ落下,耐性ダウン,熟知,率ダメ,サブステ,スコア
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼、爆発lv10)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),195365,2799.38,2.896,1.616,1.28,-0.4,0,1.00:2.24,0.80:0.00,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+会心ダメージ,イアンサ(灰燼、爆発lv10)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),194470,3279.36,2.43,1.15,1.28,-0.4,0,1.00:2.24,0.80:0.00,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心率,イアンサ(灰燼、爆発lv10)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),194190,2799.38,2.896,1.616,1.28,-0.4,0,1.00:2.22,0.50:0.60,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+会心率,イアンサ(灰燼、爆発lv10)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),193300,3279.36,2.43,1.15,1.28,-0.4,0,1.00:2.22,0.50:0.60,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+攻撃%,イアンサ(灰燼、爆発lv10)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),192680,3279.36,2.896,1.616,1.28,-0.4,0,0.96:1.91,0.65:0.29,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+攻撃%,イアンサ(灰燼、爆発lv10)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),189235,3759.34,2.43,1.15,1.28,-0.4,0,0.96:1.91,0.65:0.29,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+会心ダメージ,シロネン(灰燼、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),187547,2589.36,2.43,1.15,1.28,-0.76,0,1.00:2.24,0.80:0.00,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+会心率,シロネン(灰燼、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),186419,2589.36,2.43,1.15,1.28,-0.76,0,1.00:2.22,0.50:0.60,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+攻撃%+攻撃%,シロネン(灰燼、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),186265,3069.34,2.43,1.15,1.28,-0.76,0,0.96:1.91,0.65:0.29,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+攻撃%,シロネン(灰燼、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),185821,2589.36,2.896,1.616,1.28,-0.76,0,0.96:1.91,0.65:0.29,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心ダメージ,シロネン(灰燼、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),183507,2109.38,2.896,1.616,1.28,-0.76,0,1.00:2.24,0.80:0.00,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心ダメージ,イアンサ(灰燼、爆発lv10)+シロネン(灰燼、2色以上)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),182449,2799.38,2.146,0.866,1.28,-0.76,0,1.00:2.24,0.80:0.00,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心率,シロネン(灰燼、2色以上)+フリーナ(フル)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),182403,2109.38,2.896,1.616,1.28,-0.76,0,1.00:2.22,0.50:0.60,1.6
ヴィヴィッド・ハート,長き夜の誓い4,攻撃%+雷バフ+会心率,イアンサ(灰燼、爆発lv10)+シロネン(灰燼、2色以上)+閑雲(鶴鳴の余韻、翠緑、メインサブ原チャ),181352,2799.38,2.146,0.866,1.28,-0.76,0,1.00:2.22,0.50:0.60,1.6
