武器,聖遺物セット,聖遺物メイン,バフキャラ,合計期待値,攻撃力,HP,バフ,会心ダメ期待値,熟知,率ダメ,会心ダメ比率,聖遺物組み合わせ,サブステ,サブHP%,サブHP,スコア
赤角石塵滅砕,ファントムハンター,防御%、元素バフ、会心率,ゴロー+フリーナ+閑雲,374762.7,3467.161,17638,1.466,3.808,0,1.00:2.81,2.81,a,0.08700001,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,374762.7,3467.161,17638,1.466,3.808,0,1.00:2.81,2.81,a,0.398,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,374709.4,3974.146,17638,1.056,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,374709.4,3974.146,17638,1.056,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、元素バフ、防御%,ゴロー+フリーナ+閑雲,367125.3,4014.517,17638,1.466,3.186,0,1.00:2.19,2.19,a,0.398,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、会心率,ゴロー+フリーナ+閑雲,364112.8,3974.146,17638,1.706,3.088,0,1.00:2.09,2.09,a,0.447,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、会心ダメージ,ゴロー+フリーナ+閑雲,364112.8,3974.146,17638,1.706,3.088,0,1.00:2.09,2.09,a,0.758,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、防御%、会心率,ゴロー+フリーナ+閑雲,360633.6,4014.517,17638,1,3.808,0,1.00:2.81,2.81,a,0.08700001,0,0,0
赤角石塵滅砕,ファントムハンター,防御%、防御%、会心ダメージ,ゴロー+フリーナ+閑雲,360633.6,4014.517,17638,1,3.808,0,1.00:2.81,2.81,a,0.398,0,0,0
赤角石塵滅砕,砂上4,防御%、元素バフ、会心率,ゴロー+鍾離+雲菫,351338.7,3467.161,17638,0.816,3.488,0,1.00:2.49,2.49,a,0.447,0,0,0
赤角石塵滅砕,砂上4,防御%、元素バフ、会心ダメージ,ゴロー+鍾離+雲菫,351338.7,3467.161,17638,0.816,3.488,0,1.00:2.49,2.49,a,0.758,0,0,0
赤角石塵滅砕,華館4,防御%、元素バフ、防御%,ゴロー+鍾離+雲菫,350776.6,4521.502,17638,1.056,2.868245,0,0.97:1.93,2,a,0.7245,0,0,0
